Transaction_ID,Sender_Customer_ID,Receiver_Customer_ID,Transaction_Amount_INR,Transaction_Timestamp,Payment_Channel,Origin_Country,Destination_Country,Ground_Truth_Label,Anomaly_Type,VCI,TPS,RTR,GRE,PGDS,S_Historical,S_Behavioral,S_Geographic,WRS,Risk_Tier
T0101896,C0077,C0066,1524190,2024-05-31 17:06:38,NEFT,USA,India,0,,0.0,0.0,0.0,0.125,1.3805,13.6,5.52,12.5,9.28,Low
T0173641,C0131,C0021,1586331,2025-12-12 13:40:41,SWIFT,USA,UK,0,,0.0,0.0,0.0,0.125,-0.4895,8.4,0.0,12.5,5.22,Low
T0048820,C0038,C0124,24822380,2024-06-03 22:43:35,NEFT,Myanmar,Singapore,0,,0.0,0.0,0.0,0.575,5.0,61.2,20.0,57.5,39.67,Low
T0106120,C0082,C0118,1889041,2025-08-08 07:53:49,Card,India,India,0,,0.0,0.0,0.0,0.1,-0.3802,9.6,0.0,10.0,4.9,Low
T0226030,C0167,C0031,18063470,2024-08-05 23:16:40,Card,India,India,0,,0.0,0.0,0.0,0.1,5.0,10.8,20.0,10.0,15.2,Low
T9300747,C0043,C0178,237947,2024-07-17 06:09:17,UPI,India,India,1,Velocity-Spike,25.0,0.0,1.0,0.1,-0.1612,48.8,50.0,10.0,39.7,Low
T0109883,C0086,C0154,186411,2024-11-24 13:02:04,IMPS,India,India,0,,0.0,0.0,0.0,0.1,-0.2721,8.8,0.0,10.0,4.7,Low
T0254506,C0183,C0055,169090,2025-09-04 17:12:32,SWIFT,India,India,0,,0.0,0.0,0.0,0.1,-0.6947,14.4,0.0,10.0,6.1,Low
T9300166,C0019,C0113,247350,2025-03-20 16:12:09,UPI,Nigeria,India,1,Velocity-Spike,29.0,0.0,0.0,0.325,-0.141,55.6,30.0,32.5,37.02,Low
T9301350,C0017,C0032,208024,2025-08-19 02:54:27,UPI,Pakistan,India,1,Velocity-Spike,19.0,0.0,0.0,0.325,-0.4737,79.2,30.0,32.5,42.92,Medium
T0066592,C0050,C0152,607017,2025-04-14 08:41:13,NEFT,India,India,0,,0.0,0.0,0.0,0.1,-0.8433,8.4,0.0,10.0,4.6,Low
T9300361,C0121,C0108,438525,2025-04-06 16:23:49,UPI,India,India,1,Velocity-Spike,9.0,0.0,1.0,0.1,0.2701,47.2,48.08,10.0,38.34,Low
T0052102,C0038,C0193,7708698,2024-08-29 01:13:02,IMPS,Myanmar,UK,0,,0.0,0.0,0.0,0.575,1.7219,41.2,6.89,57.5,28.12,Low
T9300773,C0043,C0064,164092,2024-07-17 20:19:17,UPI,India,India,1,Velocity-Spike,29.0,0.0,1.0,0.1,-0.3201,48.8,50.0,10.0,39.7,Low
